QSO RA Dec zem zmin zmax zabs logN elogN
"SDSS J002946.37-093540.8" 7.44323 -9.5947 3.614 3.179 3.538 nan nan nan
"LBQS 0027+0149" 7.46724 2.1016 2.330 1.694 2.275 nan nan nan
"LBQS 0027+0103" 7.53378 1.3366 2.290 1.634 2.236 1.9375 20.60 0.20
"PSS J0030+1702" 7.56829 17.0445 4.282 2.763 4.195 nan nan nan
"BR J0030-5129" 7.64321 -51.4962 4.173 2.529 4.088 nan nan nan
"LBQS 0028+0236" 7.68827 2.8913 2.000 1.634 1.951 nan nan nan
"LBQS 0028-0148" 7.74708 -1.5303 2.080 1.840 2.029 nan nan nan
"SDSS J003126.79+150739.5" 7.86167 15.1276 4.283 3.410 4.196 nan nan nan
"LBQS 0029+0017" 7.89823 0.5726 2.230 1.725 2.177 nan nan nan
"LBQS 0029-0152" 7.90202 -1.6061 2.390 2.013 2.334 nan nan nan
"SDSS J003146.62+145519.4" 7.94425 14.9221 3.365 2.489 3.293 nan nan nan
"SDSS J003203.29-084405.0" 8.01373 -8.7348 3.253 2.443 3.183 nan nan nan
"SDSS J003250.12-105357.6" 8.20885 -10.8994 2.447 2.344 2.390 nan nan nan
"PSS J0034+1639" 8.72842 16.6554 4.292 2.981 4.205 3.7550 20.40 0.15
"SDSS J003501.88-091817.6" 8.75785 -9.3049 2.424 2.307 2.368 2.3376 20.55 0.15
"SDSS J003503.76+001641.6" 8.76572 0.2782 2.671 2.307 2.611 nan nan nan
"SDSS J0035+0040" 8.85535 0.6675 4.747 3.309 4.653 nan nan nan
"SDSS J003545.86+002305.7" 8.94111 0.3850 3.226 2.383 3.157 nan nan nan
"SDSS J003742.04+154938.1" 9.42518 15.8273 2.707 2.335 2.646 nan nan nan
"SDSS J003939.96+152720.3" 9.91652 15.4557 2.867 2.471 2.804 nan nan nan
"UM 264" 10.07589 -1.6228 2.340 1.654 2.285 nan nan nan
"SDSS J004054.65-091526.8" 10.22772 -9.2574 4.980 4.046 4.880 4.7400 20.25 0.20
"SDSS J004142.52-085704.6" 10.42718 -8.9513 3.612 3.143 3.536 nan nan nan
"SDSS J004143.15-005855.1" 10.42985 -0.9820 2.544 2.307 2.486 nan nan nan
"LBQS 0039-2630" 10.51727 -26.2344 1.810 1.634 1.764 nan nan nan
"SDSS J004205.22-103957.5" 10.52176 -10.6660 2.489 2.440 2.432 nan nan nan
"SDSS J004219.74-102009.4" 10.58228 -10.3360 3.863 2.488 3.783 2.7555 20.00 0.10
"SDSS J004240.65+141529.6" 10.66940 14.2582 3.722 2.684 3.645 nan nan nan
"LBQS 0040-2917" 10.78500 -29.0150 2.090 1.634 2.039 nan nan nan
"PKS 0040-005" 10.84763 -0.2646 2.798 2.409 2.736 nan nan nan
"LBQS 0041-2638" 10.92836 -26.3696 3.045 1.657 2.979 nan nan nan
