QSO RA Dec zem zmin zmax zabs logN elogN
"SDSS J082531.88+263619.2" 126.38284 26.6054 2.564 2.307 2.506 nan nan nan
"SDSS J082535.18+512706.3" 126.39662 51.4518 3.512 2.461 3.438 3.3180 20.85 0.15
"SDSS J082538.66+294649.0" 126.41112 29.7803 3.065 2.663 2.998 nan nan nan
"SDSS J082540.12+354414.2" 126.41720 35.7373 3.846 2.742 3.767 3.2053 20.25 0.20
nan nan nan nan nan nan 3.6562 21.10 0.20
"SDSS J082544.61+333208.8" 126.43593 33.5358 2.935 2.307 2.870 2.4854 20.70 0.15
"SDSS J082612.54+451355.6" 126.55228 45.2321 3.817 2.798 3.738 3.4595 21.35 0.15
nan nan nan nan nan nan 3.7062 20.50 0.15
"SDSS J082617.20+210514.0" 126.57169 21.0873 2.656 2.307 2.596 nan nan nan
"SDSS J082619.70+314847.8" 126.58212 31.8133 3.094 2.307 3.027 2.9122 20.30 0.15
"SDSS J082625.22+261252.7" 126.60511 26.2146 2.495 2.307 2.438 nan nan nan
"SDSS J082631.20+483320.7" 126.63000 48.5558 2.438 2.347 2.382 nan nan nan
"SDSS J082632.78+544540.0" 126.63660 54.7611 3.134 2.518 3.066 nan nan nan
"SDSS J082638.58+515233.1" 126.66078 51.8759 2.844 2.307 2.781 nan nan nan
"SDSS J082645.88+071647.0" 126.69120 7.2797 3.137 2.307 3.069 nan nan nan
"SDSS J082708.26+355532.5" 126.78444 35.9257 2.490 2.320 2.433 nan nan nan
"SDSS J082725.02+284736.2" 126.85428 28.7934 3.078 2.381 3.011 2.9083 20.50 0.15
"SDSS J082726.33+230238.7" 126.85975 23.0441 3.030 2.618 2.964 2.6822 20.25 0.20
"SDSS J082801.65+411937.2" 127.00691 41.3270 2.546 2.307 2.488 nan nan nan
"SDSS J082813.47+065326.2" 127.05614 6.8906 3.002 2.605 2.936 nan nan nan
"SDSS J082815.42+214313.8" 127.06428 21.7205 2.390 2.307 2.334 2.3288 20.05 0.20
"SDSS J082819.63+393617.1" 127.08183 39.6048 2.958 2.620 2.893 nan nan nan
"SDSS J082854.70+431220.1" 127.22797 43.2056 3.169 2.314 3.101 nan nan nan
"SDSS J082855.82+490251.5" 127.23266 49.0476 3.120 2.439 3.052 nan nan nan
"SDSS J082857.47+205243.7" 127.23950 20.8788 2.611 2.307 2.552 nan nan nan
"SDSS J082859.97+500451.3" 127.24991 50.0809 2.467 2.310 2.410 nan nan nan
"SDSS J082900.83+282804.2" 127.25350 28.4678 2.633 2.307 2.573 nan nan nan
"SDSS J082902.69+440511.2" 127.26127 44.0865 3.057 2.655 2.990 nan nan nan
"SDSS J082906.63+242322.9" 127.27765 24.3897 2.416 2.307 2.360 nan nan nan
"SDSS J082917.89+353116.1" 127.32457 35.5211 3.029 2.620 2.963 nan nan nan
"SDSS J082918.45+442614.8" 127.32692 44.4375 3.679 2.672 3.602 nan nan nan
"SDSS J082939.30+070844.7" 127.41379 7.1458 3.985 3.186 3.903 3.3165 20.40 0.20
nan nan nan nan nan nan 3.4256 20.25 0.20
"SDSS J083009.05+335726.7" 127.53774 33.9574 2.632 2.307 2.572 nan nan nan
"SDSS J083021.74+444000.9" 127.59060 44.6669 3.606 3.207 3.530 nan nan nan
"SDSS J083030.66+463111.7" 127.62775 46.5199 3.266 2.598 3.196 nan nan nan
"SDSS J083045.98+293308.9" 127.69162 29.5525 3.106 2.526 3.039 nan nan nan
"SDSS J083047.06+511025.7" 127.69613 51.1738 2.968 2.410 2.903 2.8053 20.10 0.20
"SDSS J083047.20+221557.6" 127.69668 22.2660 3.199 2.545 3.130 nan nan nan
"SDSS J083049.77+043822.7" 127.70741 4.6397 2.479 2.307 2.422 nan nan nan
"SDSS J083051.75+323327.7" 127.71564 32.5577 2.370 2.307 2.315 nan nan nan
"SDSS J083052.88+380907.3" 127.72040 38.1521 3.149 2.381 3.081 nan nan nan
"SDSS J083053.71+390300.2" 127.72385 39.0500 3.244 2.528 3.174 nan nan nan
"SDSS J083055.56+324342.1" 127.73153 32.7284 2.432 2.307 2.376 nan nan nan
"SDSS J083102.55+335803.1" 127.76067 33.9676 2.429 2.307 2.373 nan nan nan
"SDSS J083102.99+523533.7" 127.76255 52.5927 4.444 3.341 4.355 3.8677 20.45 0.15
nan nan nan nan nan nan 4.1684 20.10 0.20
"SDSS J083119.74+482018.5" 127.83230 48.3385 2.345 2.307 2.290 nan nan nan
"SDSS J083122.57+404623.3" 127.84407 40.7732 4.885 3.865 4.788 4.3404 20.70 0.20
"SDSS J083212.37+530327.3" 128.05155 53.0576 4.050 3.071 3.967 3.5403 20.40 0.15
"SDSS J083219.41+230541.4" 128.08089 23.0949 2.402 2.307 2.346 nan nan nan
"SDSS J083223.60+455418.9" 128.09839 45.9053 2.469 2.307 2.412 nan nan nan
"SDSS J083224.52+273041.5" 128.10220 27.5115 3.867 2.846 3.787 nan nan nan
"SDSS J083226.80+264124.6" 128.11168 26.6902 2.383 2.307 2.328 nan nan nan
"SDSS J083231.61+211534.6" 128.13174 21.2596 2.482 2.307 2.425 nan nan nan
"SDSS J083234.67+315418.9" 128.14450 31.9053 3.064 2.703 2.997 nan nan nan
"SDSS J083234.75+285205.8" 128.14483 28.8683 2.362 2.307 2.307 nan nan nan
"SDSS J083236.53+302255.7" 128.15223 30.3821 3.218 2.496 3.149 2.6648 20.80 0.20
"SDSS J083257.77+262032.7" 128.24075 26.3424 2.425 2.307 2.369 nan nan nan
"SDSS J083301.64+353133.8" 128.25691 35.5260 2.719 2.675 2.658 nan nan nan
"[HB89] 0830+115" 128.30986 11.3934 2.979 1.797 2.914 nan nan nan
"SDSS J083317.40+245851.1" 128.32250 24.9809 3.448 2.356 3.375 nan nan nan
"SDSS J083320.53+203910.4" 128.33557 20.6530 3.050 2.402 2.984 nan nan nan
"SDSS J083322.50+095941.2" 128.34381 9.9948 3.716 2.044 3.639 nan nan nan
"SDSS J083323.84+230119.8" 128.34934 23.0222 2.383 2.307 2.328 nan nan nan
"SDSS J083326.81+081552.0" 128.36175 8.2645 2.572 2.307 2.513 nan nan nan
"SDSS J083328.06+081317.5" 128.36695 8.2215 3.326 2.357 3.255 2.5036 20.05 0.20
nan nan nan nan nan nan 2.9453 20.60 0.15
"SDSS J083330.56+233909.1" 128.37736 23.6526 2.423 2.315 2.367 nan nan nan
"SDSS J083335.10+463601.9" 128.39629 46.6005 2.506 2.376 2.448 nan nan nan
"SDSS J083341.64+303348.8" 128.42353 30.5636 3.778 2.574 3.700 nan nan nan
"SDSS J083349.99+043200.0" 128.45832 4.5334 3.562 2.687 3.487 3.3021 20.45 0.15
"SDSS J083355.70+354614.2" 128.48212 35.7706 3.311 2.597 3.240 nan nan nan
"SDSS J083400.05+430148.1" 128.50021 43.0300 2.403 2.307 2.347 nan nan nan
"SDSS J083400.49+394216.9" 128.50204 39.7047 3.212 2.577 3.143 nan nan nan
"[HB89] 0831+128" 128.53597 12.6435 2.748 1.961 2.687 nan nan nan
"SDSS J083429.43+214024.6" 128.62267 21.6735 4.497 3.633 4.407 3.7107 20.65 0.20
nan nan nan nan nan nan 4.3899 20.70 0.20
"SDSS J083431.60+362015.7" 128.63170 36.3377 2.396 2.307 2.340 nan nan nan
"SDSS J083436.20+481715.9" 128.65089 48.2878 2.900 2.348 2.836 nan nan nan
"SDSS J083450.61+383337.0" 128.71088 38.5603 3.403 2.694 3.331 nan nan nan
"SDSS J083510.92+065052.8" 128.79551 6.8480 4.007 2.735 3.925 3.6020 19.70 0.10
nan nan nan nan nan nan 3.9555 20.40 0.10
"SDSS J083513.15+070729.3" 128.80481 7.1248 4.053 3.061 3.970 nan nan nan
"SDSS J083535.69+212240.1" 128.89872 21.3778 3.116 2.709 3.048 nan nan nan
"SDSS J083546.51+351300.8" 128.94382 35.2169 3.299 2.873 3.228 nan nan nan
"SDSS J083606.80+374044.1" 129.02834 37.6789 3.509 2.563 3.435 nan nan nan
"SDSS J083608.07+354948.8" 129.03367 35.8302 3.643 2.935 3.567 nan nan nan
"SDSS J083609.20+462020.9" 129.03837 46.3392 3.063 2.652 2.996 nan nan nan
"SDSS J083612.35+451458.4" 129.05146 45.2496 2.529 2.307 2.471 nan nan nan
"SDSS J083620.98+562038.5" 129.08743 56.3441 3.190 2.761 3.121 nan nan nan
"[HB89] 0834-201" 129.16340 -20.2832 2.750 1.632 2.688 1.7150 20.40 0.20
"SDSS J083642.82+493934.4" 129.17846 49.6596 2.968 2.567 2.903 nan nan nan
"SDSS J083653.08+275039.1" 129.22120 27.8442 3.191 2.785 3.122 nan nan nan
"SDSS J083655.80+064104.6" 129.23254 6.6846 4.435 3.586 4.344 nan nan nan
"SDSS J083658.08+273846.2" 129.24200 27.6462 3.183 2.406 3.114 nan nan nan
"SDSS J083659.83+351019.3" 129.24933 35.1720 3.319 2.940 3.248 nan nan nan
"SDSS J083700.82+350550.1" 129.25345 35.0973 3.311 2.337 3.240 nan nan nan
"SDSS J083802.33+485412.9" 129.50980 48.9036 3.193 2.307 3.124 nan nan nan
"SDSS J083803.75+242643.2" 129.51563 24.4453 2.917 2.307 2.853 nan nan nan
"SDSS J083805.17+484735.9" 129.52161 48.7933 3.280 2.531 3.210 nan nan nan
"SDSS J083808.93+091640.2" 129.53722 9.2779 2.580 2.307 2.521 nan nan nan
"SDSS J083826.94+222759.0" 129.61225 22.4664 3.426 2.569 3.353 nan nan nan
"SDSS J083827.56+323515.3" 129.61485 32.5876 3.245 2.571 3.175 nan nan nan
"SDSS J083834.31+414838.6" 129.64298 41.8108 2.480 2.307 2.423 nan nan nan
"SDSS J083839.16+285852.7" 129.66321 28.9813 4.363 2.954 4.275 nan nan nan
"SDSS J083841.55+390217.1" 129.67317 39.0381 4.345 3.521 4.257 nan nan nan
"SDSS J083848.67+411703.9" 129.70284 41.2844 2.852 2.307 2.789 nan nan nan
"SDSS J083903.73+555603.8" 129.76559 55.9344 2.629 2.312 2.569 nan nan nan
"SDSS J083914.14+485125.7" 129.80892 48.8572 2.967 2.307 2.902 nan nan nan
"SDSS J083920.53+352459.3" 129.83553 35.4165 4.784 3.880 4.688 nan nan nan
"SDSS J083922.09+334839.5" 129.84207 33.8110 3.388 2.536 3.316 nan nan nan
"SDSS J083922.13+343721.1" 129.84224 34.6225 3.305 2.910 3.234 nan nan nan
"SDSS J083923.09+250805.5" 129.84624 25.1349 3.494 2.757 3.420 nan nan nan
"SDSS J083928.73+211404.7" 129.86972 21.2347 2.692 2.314 2.631 nan nan nan
"[HB89] 0836+113" 129.88756 11.2011 2.700 1.740 2.639 2.4660 20.60 0.20
"SDSS J083941.45+031817.0" 129.92271 3.3047 4.230 2.883 4.144 nan nan nan
"SDSS J083941.95+322402.5" 129.92482 32.4007 3.366 2.920 3.294 nan nan nan
"SDSS J083946.21+511202.8" 129.94258 51.2008 4.390 3.857 4.302 nan nan nan
"SDSS J083955.83+224215.9" 129.98263 22.7044 3.031 2.397 2.965 2.5141 20.10 0.20
"SDSS J084011.64+360855.2" 130.04853 36.1487 2.369 2.307 2.314 nan nan nan
"SDSS J084014.68+441909.9" 130.06122 44.3194 2.504 2.307 2.447 nan nan nan
"SDSS J084015.41+333659.2" 130.06422 33.6165 2.416 2.307 2.360 nan nan nan
"SDSS J084027.32+070037.0" 130.11389 7.0103 3.198 2.557 3.129 nan nan nan
"SDSS J084039.27+525504.8" 130.16364 52.9180 3.091 2.397 3.024 2.8622 20.30 0.15
"SDSS J084042.19+370552.5" 130.17583 37.0979 2.905 2.614 2.841 nan nan nan
"SDSS J084044.18+341101.6" 130.18412 34.1838 3.889 3.421 3.809 3.4945 20.20 0.20
"SDSS J084045.40+090809.4" 130.18921 9.1360 4.519 4.168 4.428 nan nan nan
"SDSS J084047.39+293427.7" 130.19748 29.5744 2.666 2.307 2.606 nan nan nan
"SDSS J084048.96+273754.6" 130.20403 27.6319 2.423 2.307 2.367 nan nan nan
"SDSS J084049.25+030927.8" 130.20523 3.1578 2.450 2.307 2.393 nan nan nan
"SDSS J084051.22+404806.7" 130.21345 40.8019 4.417 3.404 4.328 4.0073 20.85 0.20
"SDSS J084100.66+300553.0" 130.25276 30.0981 2.397 2.307 2.341 nan nan nan
"SDSS J084101.38+311941.2" 130.25577 31.3281 2.896 2.307 2.832 nan nan nan
"SDSS J084104.49+420818.9" 130.26874 42.1386 2.758 2.610 2.696 nan nan nan
"SDSS J084107.23+333921.7" 130.28017 33.6561 3.066 2.955 2.999 nan nan nan
"SDSS J084112.55+065129.3" 130.30231 6.8582 2.399 2.348 2.343 nan nan nan
"SDSS J084128.24+485422.6" 130.36770 48.9063 2.812 2.307 2.749 nan nan nan
"SDSS J084130.25+290310.5" 130.37608 29.0529 2.768 2.408 2.706 nan nan nan
"SDSS J084131.73+040616.7" 130.38221 4.1047 3.114 2.692 3.047 3.0456 21.35 0.20
"SDSS J084136.18+541047.0" 130.40080 54.1798 3.012 2.307 2.946 nan nan nan
"SDSS J084146.06+483804.3" 130.44194 48.6345 2.372 2.307 2.317 nan nan nan
"SDSS J084156.54+423825.7" 130.48561 42.6405 2.870 2.700 2.807 nan nan nan
"SDSS J084203.35+063752.2" 130.51396 6.6312 3.692 2.550 3.615 nan nan nan
"SDSS J084205.65+462510.3" 130.52360 46.4195 3.478 2.623 3.405 2.6949 20.05 0.20
"SDSS J084212.40+391323.5" 130.55168 39.2232 2.888 2.312 2.824 nan nan nan
"SDSS J084214.26+270259.0" 130.55944 27.0497 2.994 2.643 2.928 nan nan nan
"SDSS J084215.87+474248.8" 130.56618 47.7136 2.704 2.325 2.643 nan nan nan
"SDSS J084231.26+275837.5" 130.63029 27.9771 3.189 2.370 3.120 2.5139 20.25 0.20
nan nan nan nan nan nan 3.0224 20.20 0.20
"SDSS J084233.27+365129.9" 130.63865 36.8583 3.773 2.918 3.695 nan nan nan
"SDSS J084241.41+464140.3" 130.67262 46.6945 3.965 3.458 3.884 nan nan nan
"SDSS J084243.55+043249.3" 130.68146 4.5470 2.724 2.562 2.663 nan nan nan
"SDSS J084245.32+325314.2" 130.68887 32.8873 2.399 2.307 2.343 nan nan nan
"SDSS J084249.02+235204.7" 130.70429 23.8680 3.316 2.503 3.245 nan nan nan
"SDSS J084253.46+431912.8" 130.72276 43.3202 3.039 2.625 2.973 nan nan nan
"SDSS J084255.60+331822.5" 130.73170 33.3063 2.590 2.307 2.531 nan nan nan
"SDSS J084255.92+223431.9" 130.73304 22.5755 2.715 2.335 2.654 nan nan nan
"SDSS J084258.83+361444.1" 130.74514 36.2456 2.490 2.307 2.433 nan nan nan
"SDSS J084307.19+403626.7" 130.77998 40.6074 3.852 3.093 3.772 3.3883 20.50 0.20
"SDSS J084309.66+241559.2" 130.79027 24.2665 2.864 2.683 2.801 nan nan nan
"SDSS J084311.13+042619.5" 130.79638 4.4388 2.526 2.307 2.468 nan nan nan
"SDSS J084312.64+075029.3" 130.80268 7.8415 3.266 2.844 3.196 nan nan nan
"SDSS J084314.15+025946.5" 130.80900 2.9963 2.909 2.347 2.845 nan nan nan
"SDSS J084337.74+503518.6" 130.90731 50.5885 2.415 2.307 2.359 nan nan nan
"[HB89] 0840+447" 130.90912 44.5708 3.210 2.311 3.141 nan nan nan
"SDSS J084340.94+490900.9" 130.92064 49.1503 3.026 2.406 2.960 nan nan nan
"SDSS J084346.45+290811.6" 130.94357 29.1366 3.146 2.755 3.078 nan nan nan
"[HB89] 0840+450" 130.95286 44.8741 2.582 2.307 2.523 nan nan nan
"SDSS J084355.61+560610.4" 130.98173 56.1029 2.392 2.307 2.336 nan nan nan
"SDSS J084407.29+515311.0" 131.03041 51.8865 3.199 2.493 3.130 2.7753 21.45 0.15
"SDSS J084408.29+423226.9" 131.03457 42.5408 2.991 2.596 2.926 nan nan nan
"SDSS J084410.16+421323.0" 131.04237 42.2231 3.809 2.873 3.730 nan nan nan
"SDSS J084416.82+394300.6" 131.07011 39.7169 2.476 2.307 2.419 nan nan nan
"SDSS J084421.61+333805.7" 131.09005 33.6349 2.948 2.307 2.883 nan nan nan
"SDSS J084426.10+421646.5" 131.10878 42.2796 3.006 2.599 2.940 2.8206 20.85 0.15
"SDSS J084434.15+224305.1" 131.14230 22.7181 3.122 2.357 3.054 nan nan nan
"SDSS J084437.13+311048.3" 131.15474 31.1801 3.011 2.688 2.945 nan nan nan
"SDSS J084438.62+462425.3" 131.16099 46.4070 3.785 2.990 3.707 3.3345 20.85 0.15
"SDSS J084441.44+314327.2" 131.17269 31.7243 3.042 2.643 2.976 nan nan nan
"SDSS J084451.72+051827.7" 131.21552 5.3077 4.465 4.195 4.375 nan nan nan
"SDSS J084455.22+251840.8" 131.23009 25.3114 3.753 2.848 3.675 nan nan nan
"SDSS J084455.69+033337.2" 131.23209 3.5604 3.786 2.879 3.707 nan nan nan
"SDSS J084502.73+081214.2" 131.26138 8.2040 2.349 2.307 2.294 nan nan nan
"SDSS J084509.34+321956.7" 131.28895 32.3324 3.073 2.374 3.006 nan nan nan
"SDSS J084519.18+424621.0" 131.32997 42.7725 2.876 2.599 2.812 nan nan nan
"SDSS J084530.36+341344.8" 131.37655 34.2291 2.414 2.307 2.358 nan nan nan
"SDSS J084532.62+304920.4" 131.38594 30.8223 3.625 2.843 3.549 nan nan nan
"SDSS J084533.04-000919.7" 131.38770 -0.1555 3.231 2.514 3.162 nan nan nan
"SDSS J084539.97+305641.9" 131.41656 30.9450 2.419 2.307 2.363 nan nan nan
"SDSS J084543.38+525641.5" 131.43081 52.9449 2.714 2.368 2.653 nan nan nan
"SDSS J084552.27+504524.2" 131.46782 50.7568 2.895 2.503 2.831 2.7734 20.30 0.25
"SDSS J084616.80+242707.7" 131.57002 24.4521 2.668 2.307 2.608 nan nan nan
"SDSS J084621.71+004025.2" 131.59046 0.6737 3.017 2.391 2.951 nan nan nan
"SDSS J084627.84+080051.7" 131.61602 8.0144 5.028 4.086 4.927 nan nan nan
"SDSS J084629.48+090521.9" 131.62285 9.0894 2.694 2.316 2.633 nan nan nan
"SDSS J084631.52+241108.3" 131.63137 24.1857 4.742 3.845 4.646 nan nan nan
"SDSS J084654.27+300012.8" 131.72614 30.0036 3.650 3.211 3.574 nan nan nan
"FBQS J084715.1+383110" 131.81320 38.5194 3.182 2.307 3.113 nan nan nan
"SDSS J084752.61+531048.0" 131.96926 53.1800 2.368 2.307 2.313 nan nan nan
"SDSS J084758.11+454202.3" 131.99214 45.7006 2.577 2.347 2.518 nan nan nan
"SDSS J084806.96+333151.2" 132.02904 33.5309 2.470 2.307 2.413 nan nan nan
"SDSS J084807.49+362325.9" 132.03122 36.3906 2.355 2.307 2.300 nan nan nan
"SDSS J084809.25+275454.5" 132.03858 27.9152 2.470 2.307 2.413 nan nan nan
"SDSS J084811.52-001417.9" 132.04801 -0.2383 4.124 3.062 4.040 nan nan nan
"SDSS J084826.41+051838.8" 132.11007 5.3108 2.492 2.380 2.435 nan nan nan
"SDSS J084830.94+394443.7" 132.12894 39.7455 3.567 2.521 3.492 nan nan nan
"SDSS J084838.58+374541.7" 132.16079 37.7616 2.619 2.307 2.560 nan nan nan
"SDSS J084838.84+441828.7" 132.16185 44.3080 3.749 3.263 3.671 nan nan nan
"SDSS J084842.16+025626.5" 132.17568 2.9407 2.975 2.606 2.910 nan nan nan
"SDSS J084847.98+464717.3" 132.19995 46.7882 2.788 2.613 2.726 nan nan nan
"SDSS J084852.70+380229.5" 132.21962 38.0415 3.129 2.449 3.061 3.0509 20.45 0.15
"SDSS J084904.09+072600.6" 132.26708 7.4335 3.397 2.520 3.325 3.1443 21.15 0.15
"SDSS J084909.58+323322.9" 132.28992 32.5564 2.915 2.518 2.851 nan nan nan
"SDSS J084917.22+030605.8" 132.32179 3.1016 3.081 2.662 3.014 2.7609 20.05 0.20
"SDSS J084917.71+302406.1" 132.32383 30.4017 2.483 2.307 2.426 nan nan nan
"SDSS J084932.42+402247.2" 132.38512 40.3798 3.713 3.247 3.636 nan nan nan
"[HB89] 0846+152" 132.40892 15.1060 2.640 1.831 2.580 nan nan nan
"SDSS J084939.88+235129.1" 132.41620 23.8581 3.239 2.341 3.169 nan nan nan
"SDSS J084948.98+275638.7" 132.45410 27.9441 2.853 2.307 2.790 nan nan nan
"[HB89] 0847+100" 132.45823 9.8427 2.806 2.307 2.744 nan nan nan
"SDSS J084951.45+383548.5" 132.46442 38.5968 2.429 2.307 2.373 nan nan nan
"SDSS J084952.38+342356.6" 132.46828 34.3991 3.266 2.517 3.196 nan nan nan
"SDSS J084957.67+543529.7" 132.49037 54.5916 3.834 3.356 3.755 nan nan nan
"SDSS J084959.62+430111.4" 132.49843 43.0199 3.656 3.195 3.580 nan nan nan
"SDSS J085000.95+283602.1" 132.50399 28.6006 2.546 2.307 2.488 nan nan nan
"SDSS J085006.08+072959.0" 132.52535 7.4997 2.684 2.308 2.624 nan nan nan
"SDSS J085011.23+364015.9" 132.54681 36.6711 2.355 2.307 2.300 nan nan nan
"SDSS J085028.32+453713.7" 132.61803 45.6205 3.921 3.192 3.840 nan nan nan
"SDSS J085039.05+222319.9" 132.66274 22.3889 3.194 2.779 3.125 nan nan nan
"SDSS J085045.44+563618.7" 132.68935 56.6052 2.464 2.307 2.407 nan nan nan
"[HB89] 0848+155" 132.71587 15.3709 2.010 1.735 1.961 nan nan nan
"SDSS J085058.39+064627.7" 132.74338 6.7744 2.821 2.307 2.758 nan nan nan
"SDSS J085115.10+463215.6" 132.81296 46.5377 2.762 2.377 2.700 nan nan nan
"SDSS J085124.67+262938.1" 132.85281 26.4939 3.069 2.307 3.002 2.3604 21.15 0.15
"SDSS J085126.96+292304.3" 132.86236 29.3846 2.487 2.307 2.430 nan nan nan
"SDSS J085142.90+561732.0" 132.92880 56.2922 2.508 2.307 2.450 nan nan nan
"SDSS J085143.72+233208.9" 132.93220 23.5358 4.499 4.177 4.409 nan nan nan
"SDSS J085149.01+371645.5" 132.95421 37.2793 3.011 2.341 2.945 nan nan nan
"SDSS J085150.75+412349.3" 132.96148 41.3971 2.395 2.307 2.339 2.3387 20.25 0.20
"SDSS J085150.96+282738.3" 132.96235 28.4607 3.551 2.685 3.476 nan nan nan
"SDSS J085151.26+020755.9" 132.96359 2.1322 4.292 4.164 4.205 nan nan nan
"SDSS J085151.54+045200.4" 132.96479 4.8668 3.510 3.063 3.436 nan nan nan
"SDSS J085155.78+300618.0" 132.98242 30.1050 3.601 2.697 3.526 nan nan nan
"SDSS J085213.83+241718.7" 133.05765 24.2886 2.497 2.307 2.440 nan nan nan
"SDSS J085216.23+325247.2" 133.06763 32.8798 3.737 3.404 3.659 nan nan nan
"SDSS J085227.27+504510.7" 133.11366 50.7530 4.216 2.939 4.130 nan nan nan
"SDSS J085228.72+565349.3" 133.11970 56.8971 2.897 2.553 2.833 nan nan nan
"SDSS J085237.93+263758.5" 133.15808 26.6329 3.290 2.583 3.220 nan nan nan
"SDSS J085245.09+010239.3" 133.18790 1.0443 2.503 2.307 2.446 nan nan nan
"SDSS J085246.05+295501.4" 133.19191 29.9171 2.430 2.307 2.374 nan nan nan
"SDSS J085248.14+314648.1" 133.20061 31.7800 2.381 2.331 2.326 nan nan nan
"SDSS J085257.12+243103.1" 133.23802 24.5175 3.617 2.729 3.541 2.7904 20.80 0.20
nan nan nan nan nan nan 2.8177 21.15 0.20
"[HB89] 0850+283" 133.26612 28.1198 2.976 2.605 2.911 nan nan nan
"SDSS J085304.15+523649.1" 133.26734 52.6136 2.395 2.317 2.339 nan nan nan
"SDSS J085304.35+093000.8" 133.26814 9.5002 3.105 2.695 3.038 nan nan nan
"SDSS J085305.81+450826.8" 133.27423 45.1408 2.510 2.307 2.452 nan nan nan
"SDSS J085309.70+232454.3" 133.29044 23.4151 2.524 2.307 2.466 nan nan nan
"SDSS J085316.55+445616.5" 133.31898 44.9380 2.530 2.307 2.472 nan nan nan
"SDSS J085323.22+415121.3" 133.34678 41.8559 3.388 2.464 3.316 2.9063 20.20 0.20
"SDSS J085329.31+243541.7" 133.37216 24.5949 2.806 2.667 2.744 nan nan nan
"SDSS J085330.69+254250.0" 133.37791 25.7139 2.425 2.307 2.369 nan nan nan
"SDSS J085346.24+000839.4" 133.44271 0.1443 2.606 2.426 2.547 nan nan nan
"SDSS J085406.12+423810.7" 133.52551 42.6363 2.387 2.307 2.331 nan nan nan
"SDSS J085410.84+412938.5" 133.54518 41.4941 3.451 2.586 3.378 nan nan nan
"SDSS J085417.60+532735.2" 133.57339 53.4598 2.418 2.307 2.362 nan nan nan
"SDSS J085427.66+444255.0" 133.61529 44.7153 3.547 2.797 3.472 nan nan nan
"SDSS J085430.17+004213.6" 133.62573 0.7038 4.084 3.275 4.001 3.6905 20.35 0.20
"SDSS J085430.37+205650.8" 133.62655 20.9475 5.179 4.214 5.076 4.4240 21.05 0.20
"SDSS J085441.49+465203.1" 133.67294 46.8676 2.513 2.307 2.455 nan nan nan
"SDSS J085503.81+293248.9" 133.76587 29.5469 3.389 2.417 3.317 nan nan nan
"SDSS J085505.92+241351.6" 133.77470 24.2310 2.413 2.307 2.357 nan nan nan
"SDSS J085528.98+225733.6" 133.87076 22.9593 2.884 2.805 2.820 nan nan nan
"SDSS J085529.34+240326.4" 133.87230 24.0573 3.048 2.656 2.982 nan nan nan
"SDSS J085531.08+322728.4" 133.87954 32.4579 3.267 2.591 3.197 nan nan nan
"SDSS J085534.39+510632.7" 133.89336 51.1091 3.260 2.307 3.190 nan nan nan
"SDSS J085546.23+082051.2" 133.94266 8.3476 4.285 3.135 4.198 3.7422 21.05 0.15
"SDSS J085606.89+393924.0" 134.02873 39.6567 4.105 3.247 4.021 nan nan nan
"SDSS J085609.46+374928.8" 134.03949 37.8247 2.570 2.307 2.511 nan nan nan
"SDSS J085611.69+411516.8" 134.04872 41.2547 3.683 2.605 3.606 nan nan nan
"SDSS J085619.18+235531.8" 134.07995 23.9255 2.544 2.307 2.486 nan nan nan
"SDSS J085624.92+102017.0" 134.10383 10.3381 3.702 2.708 3.625 nan nan nan
"SDSS J085630.42+310759.4" 134.12678 31.1332 3.506 2.580 3.432 nan nan nan
"SDSS J085637.69+100855.5" 134.15709 10.1487 4.550 4.100 4.459 nan nan nan
"SDSS J085643.38+321242.2" 134.18078 32.2118 3.228 2.390 3.159 nan nan nan
"SDSS J085647.17+293700.5" 134.19657 29.6168 2.422 2.307 2.366 nan nan nan
"SDSS J085651.37+435812.1" 134.21406 43.9700 3.530 2.390 3.456 nan nan nan
"SDSS J085652.27+355812.1" 134.21782 35.9700 2.880 2.341 2.816 nan nan nan
"SDSS J085707.02+102312.2" 134.27929 10.3867 3.739 3.270 3.661 nan nan nan
"SDSS J085707.94+321031.9" 134.28310 32.1756 4.796 3.890 4.699 nan nan nan
"SDSS J085728.90+251456.5" 134.37043 25.2490 2.559 2.307 2.501 nan nan nan
"SDSS J085729.48+420054.6" 134.37285 42.0152 3.532 2.617 3.458 2.6865 21.15 0.15
nan nan nan nan nan nan 3.0347 20.35 0.20
"SDSS J085731.90+365446.5" 134.38296 36.9130 2.903 2.533 2.839 nan nan nan
"SDSS J085734.26+273141.9" 134.39279 27.5283 2.482 2.307 2.425 nan nan nan
"SDSS J085734.56+545901.6" 134.39401 54.9838 2.982 2.374 2.917 nan nan nan
"SDSS J085737.17+294132.4" 134.40492 29.6924 3.104 2.307 3.037 nan nan nan
"SDSS J085739.12+090131.2" 134.41303 9.0253 3.088 2.669 3.021 nan nan nan
"SDSS J085743.65+292710.4" 134.43192 29.4529 2.453 2.307 2.396 nan nan nan
"SDSS J085753.05+470439.2" 134.47107 47.0776 3.257 2.821 3.187 nan nan nan
"SDSS J085753.39+010511.1" 134.47251 1.0864 3.308 2.503 3.237 nan nan nan
"SDSS J085754.40+313026.9" 134.47670 31.5075 3.301 2.570 3.230 nan nan nan
