Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
WISEA J130542.76+092427.7,196.42821,9.40772,QSO,614988.00,2.051378,,19.2g,,23,0,22,11,16,4,0
"[HB89] 1303+308",196.47802,30.54786,QSO,530633.00,1.77,?,17.85,,75,1,27,5,2,4,0
SBS 1307+462,197.54841,46.02349,QSO,642247.00,2.142306,,16.6g,,49,2,48,13,14,8,0
WISEA J131040.22+542449.7,197.66767,54.41378,QSO,578378.00,1.929261,,18.9g,,43,0,38,14,19,8,0
WISEA J131215.22+423900.9,198.06362,42.65024,QSO,771277.00,2.572703,,18.5g,,61,2,67,18,18,8,0
WISEA J131341.18+144140.6,198.42166,14.69461,QSO,568705.00,1.896995,,18.3g,,32,1,38,14,18,8,0
WISEA J131855.74+531207.2,199.73231,53.20202,QSO,698892.00,2.331251,,18.3g,,36,0,50,12,15,8,0
3C 286,202.78453,30.50915,QSO,254804.00,0.849934,,17.3g,,779,15,212,40,25,8,0
WISEA J133532.65+082404.3,203.88605,8.40118,QSO,572604.00,1.91,,19.1g,,24,0,21,12,13,4,0
"[HB89] 1337+113",205.0106,11.10839,QSO,877258.00,2.926218,,19.0g,,101,1,42,12,17,6,0
WISEA J134004.94+281653.2,205.02064,28.28146,QSO,754578.00,2.517,,17.1,,19,0,23,4,3,4,0
SBS 1341+576,205.86971,57.36313,QSO,911038.00,3.038894,,17.9g,,53,0,52,14,18,8,0
"[HB89] 1343+266 NED02",206.43466,26.41816,QSO,608579.00,2.03,,20.18,,31,0,18,4,3,4,0
WISEA J134916.65-033715.5,207.31967,-3.62085,QSO,1196772.00,3.992,,18.8,,35,1,12,5,3,0,0
WISE J135038.90-251216.0,207.66167,-25.20444,QSO,759674.00,2.534,,16.83,,60,0,23,10,6,0,0
WISEA J135317.10+532825.4,208.32129,53.47375,QSO,873005.00,2.912032,,18.3g,,42,0,40,15,18,8,0
"[HB89] 1351+318",208.52248,31.65066,QSO,397525.00,1.326,,17.4,,80,1,17,18,13,4,1
WISEA J140501.95+444759.7,211.25807,44.79996,QSO,664015.00,2.214914,,18.2g,,34,0,43,15,17,8,0
WISEA J141719.24+413237.1,214.33013,41.54362,QSO,602589.00,2.01002,,18.7g,,39,1,38,13,18,8,0
SBS 1417+596,214.77634,59.38676,QSO,698336.00,2.329397,,17.8g,,44,0,45,12,15,8,0
KODIAQ J142438+225600,216.15872,22.9335,QSO,1085249.00,3.62,,16.5,,274,8,57,12,9,0,1
SBS 1425+606,216.73407,60.4308,QSO,958484.00,3.197157,,16.5g,,117,4,52,17,20,8,1
WISEA J143316.13+313126.3,218.31717,31.52394,QSO,881390.00,2.94,,17.7,,16,0,23,10,6,4,0
SBS 1433+542,218.75225,53.99826,QSO,791069.00,2.638723,,17.1g,,53,0,47,17,17,8,0
WISEA J143912.33+295448.0,219.80144,29.91336,QSO,900483.00,3.003687,,17.7g,,38,0,33,14,17,4,0
WISEA J143915.40-015623.6,219.81415,-1.93993,QSO,648391.00,2.1628,,18.9g,,40,0,42,15,19,8,0
WISEA J144331.18+272436.9,220.87988,27.4102,QSO,1325083.00,4.42,,19.3,,70,2,23,15,16,4,0
WISE J144453.70+291905.0,221.22309,29.31827,QSO,790853.00,2.638,,16.4g,,63,1,28,10,7,4,4
"[HB89] 1442+101",221.3186,9.97669,QSO,1064965.00,3.552339,,18.6g,,313,5,106,29,23,4,1
WISEA J145408.96+511443.7,223.53732,51.24549,QSO,1093562.00,3.647729,,18.6g,,41,0,44,15,20,8,0
WISEA J145435.18+094100.0,223.6466,9.68336,QSO,583396.00,1.946,,18.8g,,27,0,26,13,14,4,0
WISEA J150932.11+111313.6,227.38383,11.22047,QSO,633999.00,2.114792,,19.3g,,29,0,30,14,19,4,0
WISEA J151224.18+465233.4,228.10075,46.87597,QSO,1007216.00,3.35971,,19.3g,,35,0,38,11,17,8,0
SBS 1520+530,230.43679,52.9135,QSO,556115.00,1.855,,17.67,,75,0,7,3,2,0,0
WISE J152156.48+520238.6,230.48534,52.04403,QSO,648979.00,2.164762,,15.4i,,50,0,34,15,16,4,0
WISEA J154153.46+315329.4,235.47279,31.89151,QSO,764841.00,2.551236,,17.8g,,47,0,44,20,20,8,0
WISE J155152.46+191104.1,237.9686,19.18447,QSO,848413.00,2.83,,17.0B,,38,0,33,15,9,4,0
WISEA J155556.90+480014.9,238.98707,48.00422,QSO,991148.00,3.306113,,20.0g,,42,1,42,15,21,8,0
2MASSi J1556106+374039,239.04466,37.67574,QSO,796848.00,2.658,,18.19,,10,0,4,4,2,0,0
WISEA J155810.15-003120.0,239.54233,-0.52223,QSO,852029.00,2.842061,,17.8g,,48,0,51,12,15,6,0
WISEA J155814.50+405336.9,239.56046,40.89363,QSO,790818.00,2.637883,,18.7g,,43,0,42,11,16,8,0
"[HB89] 1556+335",239.72994,33.3885,QSO,495700.00,1.653476,,17.7g,,102,0,70,18,13,8,1
"[HB89] 1602+576",240.98305,57.51511,QSO,854409.00,2.85,,18.3,,80,2,48,16,7,0,1
WISEA J160413.98+395121.8,241.05822,39.85611,QSO,946711.00,3.157887,,19.0g,,49,0,48,15,20,8,0
WISE J160455.40+381201.6,241.23083,38.20046,QSO,752479.00,2.51,,15.9,,40,0,31,16,12,4,0
SDSS J1605+5113 FG,241.44833,51.22507,QSO,534785.00,1.783849,,19.4g,,38,0,35,16,23,8,0
WISE J160843.90+071508.0,242.18294,7.25241,QSO,866446.00,2.890151,,16.9g,,40,0,48,20,21,6,0
WISEA J161009.42+472444.4,242.53928,47.41236,QSO,965341.00,3.220032,,19.3g,,47,0,42,14,18,8,0
WISEA J162453.47+375806.7,246.2228,37.96851,QSO,1013719.00,3.381403,,19.2g,,49,1,56,16,17,8,0
"[HB89] 1623+268 NED01",246.45036,26.74238,QSO,746483.00,2.49,,18.,,73,0,30,9,7,3,0
"[HB89] 1623+268 NED02",246.45333,26.78299,QSO,758924.00,2.531497,,17.4g,,124,3,69,22,22,6,0
