Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
LBQS 0258+0210,45.19178,2.37918,QSO,756676.00,2.524,,18.0B,,28,0,20,7,5,0,0
LBQS 0301-0035,45.92103,-0.38942,QSO,969890.00,3.235203,,18.0g,,103,0,60,24,30,8,0
LBQS 0302-0019,46.20774,-0.13708,QSO,988471.00,3.297184,,17.8g,,175,2,73,26,30,8,0
"[HB89] 0302-223",46.20775,-22.19775,QSO,422408.00,1.409,,16.0,,103,6,37,10,5,0,0
LBQS 0307-0058,47.51256,-0.77937,QSO,634141.00,2.115268,,17.9g,,51,0,65,25,33,8,0
KODIAQ J032412-320259,51.05163,-32.05026,QSO,989915.00,3.302,,17.9V,,5,0,0,2,1,0,0
PKS 0336-017,54.75413,-1.55489,QSO,958437.00,3.197,,19.1,,104,0,33,21,10,0,0
"[HB89] 0347-383",57.43201,-38.17537,QSO,974925.00,3.252,,17.3,,128,1,21,7,5,0,0
"[HB89] 0348+061",57.81888,6.32061,QSO,615174.00,2.052,,17.6,,45,0,18,4,1,0,0
WISEA J040241.43-064137.9,60.6726,-6.69389,QSO,730325.00,2.436101,,18.0g,,35,0,54,12,17,8,0
"[HB89] 0421+019",66.03567,2.0736,QSO,612776.00,2.044,,17.04,,152,1,44,16,4,0,0
"[HB89] 0424-131",66.78042,-13.04806,QSO,647252.00,2.159,,17.5,,146,3,22,11,7,0,0
KODIAQ J043038-133546,67.66154,-13.59619,QSO,959336.00,3.2,,17.0,,11,0,0,3,2,0,0
KODIAQ J045142-132033,72.92738,-13.34246,QSO,929357.00,3.1,,17.0,,15,0,0,4,3,0,0
KODIAQ J045213-164012,73.0566,-16.67004,QSO,779460.00,2.6,,17.0,,35,0,14,11,9,0,0
2MASS J04531356-1305551,73.30617,-13.09884,QSO,689523.00,2.3,,16.5,,33,0,7,9,6,0,0
"[HB89] 0454-220",74.03717,-21.98594,QSO,159933.00,0.53348,,16.1,,178,2,49,22,11,0,0
"[HB89] 0458-020",75.30337,-1.98729,QSO,685326.00,2.286,,18.1V,,422,5,112,39,20,0,0
"[HB89] 0528-250",82.53318,-25.05831,QSO,832914.00,2.7783,,17.24,,306,8,46,26,12,0,0
"[HB89] 0551-366",88.19246,-36.62458,QSO,694619.00,2.317,,17.57,,70,1,18,8,4,0,0
"[HB89] 0636+680",100.51774,67.97656,QSO,953340.00,3.18,,16.46,,176,3,72,15,8,0,1
"[HB89] 0642+449",101.63344,44.85461,QSO,1018095.00,3.396,,18.49,,315,5,133,25,15,0,1
WISEA J073149.50+285448.8,112.95631,28.91355,QSO,1100647.00,3.671364,,19.8g,,42,0,47,13,19,8,0
FBQS J074110.6+311200,115.2946,31.20006,QSO,189455.00,0.631955,,16.7g,,399,8,160,36,29,8,3
WISE J074521.70+473436.0,116.34078,47.57673,QSO,965581.00,3.220832,,16.7g,,89,0,52,22,23,8,0
WISEA J074711.14+273903.3,116.79647,27.65093,QSO,1250135.00,4.17,,19.9g,,59,0,27,21,18,4,0
WISEA J074749.74+443417.1,116.95729,44.57142,QSO,1328800.00,4.4324,,22.3g,,60,1,46,18,22,8,0
FBQS J074927.9+415242,117.36628,41.87844,QSO,933286.00,3.113106,,17.8g,,50,0,49,16,20,8,0
WISE J075054.64+425219.2,117.72772,42.87194,QSO,572400.00,1.90932,,16.2g,,59,0,67,20,23,8,0
WISE J080117.80+521034.6,120.32414,52.17628,QSO,967085.00,3.225847,,17.3g,,54,0,49,21,23,8,0
WISEA J080342.03+302254.7,120.92526,30.38182,QSO,608834.00,2.030851,,16.5g,,47,0,61,16,16,8,0
3C 191,121.19988,10.25658,QSO,586394.00,1.956,,18.4,,257,8,96,23,14,4,0
WISE J080518.15+614424.0,121.32575,61.73992,QSO,909271.00,3.033,,19.6R,,94,1,44,21,16,0,1
FBQS J081240.6+320808,123.1695,32.1357,QSO,810388.00,2.703164,,17.9g,,82,0,50,22,21,8,0
3C 196,123.40014,48.21738,QSO,261119.00,0.871,,17.79,,390,9,92,19,7,0,3
WISEA J081435.19+502946.3,123.64657,50.49624,QSO,1164598.00,3.88468,,19.6g,,55,0,42,21,28,8,0
WISEA J081740.51+135134.7,124.41886,13.85961,QSO,1312726.00,4.378783,,21.9g,,29,0,22,13,18,4,0
WISEA J082107.61+310751.1,125.28172,31.13087,QSO,783470.00,2.613373,,17.3g,,79,1,67,25,23,8,0
WISEA J082540.12+354414.2,126.4172,35.7373,QSO,1152975.00,3.84591,,20.1g,,42,0,42,12,18,8,0
WISEA J082619.71+314848.0,126.58212,31.81334,QSO,928632.00,3.097584,,18.1g,,51,0,51,20,24,6,0
WISEA J082849.15+085854.8,127.20484,8.98191,QSO,680829.00,2.271,,18.4g,,21,0,25,10,11,4,0
FBQS J083052.0+241059,127.71703,24.18328,QSO,282225.00,0.9414,,17.4g,,414,8,144,59,40,8,1
SDSS J083102.55+335803.1,127.76067,33.96756,QSO,728502.00,2.43002,,18.9g,,48,0,30,16,21,8,0
IRAS F08279+5255,127.92371,52.75487,QSO,1172848.00,3.9122,,15.2,,185,1,83,5,1,0,0
WISEA J083712.89+145917.4,129.30373,14.98817,QSO,755305.00,2.519427,,17.8g,,34,0,33,17,18,4,0
"[HB89] 0836+113",129.88756,11.20106,QSO,808241.00,2.696,,18.8,,65,1,1,6,3,0,0
FBQS J0840+3633,130.18508,36.55774,QSO,367246.00,1.225,,17.3g,,63,2,62,18,19,6,1
2MASS J08442426+1245464,131.10108,12.76289,QSO,747503.00,2.4934,,18.0,,76,3,12,8,5,0,2
"[HB89] 0843+136",131.44664,13.48284,QSO,563505.00,1.87965,,17.8g,,106,0,57,22,22,4,1
"[HB89] 0848+163",132.92403,16.20611,QSO,577687.00,1.926957,,17.4g,,82,2,35,15,17,3,0
FBQS J090033.4+421546,135.13969,42.26314,QSO,987593.00,3.294256,,17.2g,,72,0,49,22,25,6,0
WISEA J092708.88+582319.4,141.78701,58.38872,QSO,574107.00,1.915013,,18.7g,,45,0,49,16,23,8,0
WISEA J092759.79+154321.8,141.99912,15.72272,QSO,541155.00,1.8051,,19.2g,,24,1,23,14,13,4,0
WISEA J092914.49+282529.2,142.31039,28.42476,QSO,1021172.00,3.406262,,18.4g,,41,0,45,14,16,4,0
FBQS J0933+2845,143.40541,28.75896,QSO,1025710.00,3.4214,,17.5,,65,1,40,14,6,4,0
WISEA J093643.51+292713.6,144.18131,29.45379,QSO,877598.00,2.927351,,18.1g,,39,0,51,16,20,8,1
"[HB89] 0933+733",144.45333,73.03278,QSO,757875.00,2.528,,17.,,58,2,25,6,3,0,0
PG 0935+416,144.73758,41.47255,QSO,586699.00,1.957016,,16.5g,,74,2,53,17,18,8,0
WISE J094202.00+042244.0,145.50852,4.37902,QSO,984534.00,3.28405,,17.4g,,57,0,45,26,28,8,0
FBQS J0951+2635,147.84404,26.58724,QSO,373550.00,1.24603,,17.5g,,76,1,11,7,8,0,0
SBS 0949+527,148.28771,52.50826,QSO,566596.00,1.88996,,17.8g,,48,1,51,17,20,8,0
WISEA J095355.72-050419.0,148.48205,-5.07181,QSO,1309793.00,4.369,,19.1,,48,1,12,7,6,0,0
BRI 0952-0115,148.75039,-1.50181,QSO,1329160.00,4.4336,,18.7,,94,5,7,11,10,0,0
SBS 0953+549,149.31113,54.67154,QSO,776302.00,2.589463,,17.4g,,72,3,48,12,16,8,1
3C 232,149.58729,32.40061,QSO,159070.00,0.5306,,16.1g,,373,10,105,32,22,8,0
WISEA J095822.18+014524.1,149.59244,1.75675,QSO,587953.00,1.9612,,17.8g,,85,1,88,34,40,8,0
"[HB89] 0956+122",149.71749,12.04585,QSO,991951.00,3.308791,,17.8g,,98,0,44,15,18,8,0
WISEA J100110.19+552834.6,150.29241,55.4763,*,610078.00,2.035,PHOT,17.6g,,10,0,25,7,3,4,0
"[HB89] 0957+561",150.33624,55.89879,QSO,423937.00,1.4141,,16.7,,346,5,22,8,6,0,0
"[HB89] 0957+558 NED03",150.52235,55.71609,QSO,345300.00,1.151797,,18.5g,,62,2,65,14,17,8,0
FBQS J100841.2+362319,152.17186,36.38868,QSO,938068.00,3.129056,,18.1g,,52,0,48,17,19,8,1
WISEA J101155.59+294141.6,152.98166,29.69489,QSO,785456.00,2.62,,16.1g,,57,1,23,12,9,4,0
WISEA J101336.39+561536.4,153.40157,56.26012,QSO,1094440.00,3.65066,,19.7g,,51,1,47,17,21,8,0
WISE J101447.18+430030.1,153.6966,43.00841,QSO,936998.00,3.12549,,16.9g,,70,0,45,26,26,8,1
WISEA J101549.00+002020.1,153.95419,0.33889,QSO,1319893.00,4.40269,,21.8g,,70,1,44,15,22,8,0
LBQS 1013-0020,153.98465,-0.58474,QSO,750680.00,2.504,,18.59,,30,0,26,9,7,4,0
