qso_name, set, ra, dec, z_dlas, nhi_dlas
J2239536-055219_VIS,XQ,339.9734380840,-5.8726042680,"4.0805","20.6000"
PSSJ0211+1107_UVB,XQ,32.8337514565,11.1207208732,"3.5015","20.1425"
BRJ0006-6208_VIS,XQ,1.7150372322,-62.1335523612,"4.1460,3.7750,3.2030,3.7768,4.1448","19.8000,21.0000,20.9000,21.1815,19.8377"
J1621-0042_UVB,XQ,245.3210215814,-0.7147039674,"3.1050","20.4095"
PMNJ0100-2708_UVB,XQ,15.0519677128,-27.1478110055,3.2425,19.9631
BRI0952-0115_VIS,XQ,148.7500695493,-1.5023549713,"4.0138","20.9538"
J001306+000431,UVE,3.2755769648,0.0754977922,"2.0231","21.0876"
J223941-294954,UVE,339.9238711186,-29.8317264939,1.8247,19.8097
J124020+145535,UVE,190.0871202077,14.9265570761,"2.6337","20.3069"
J133941+054822,UVE,204.9247859236,5.8061388517,"2.5859","20.7815"
J020944+051713,UVE,32.4358680817,5.2871119425,"3.6662,3.8648","20.5241,20.4722"
J050112-015914,UVE,75.3032437724,-1.9872175166,"2.0404","21.3935"
J220852-194359,UVE,332.2169116372,-19.7332548130,"2.0826","20.3173"
J220852-194359,UVE,332.2169116372,-19.7332548130,"1.9210,2.0760,2.0826","20.6700,20.4400,20.3173"
J111113-080401,UVE,167.8073262821,-8.0671908062,"3.6080,3.4836","20.3700,20.2"
J211927-353740,UVE,319.8649954999,-35.6279221624,1.9957,20.2614
J234512-433814,UVE,356.3017904100,-43.6374195457,"2.6120","21.0000"
J234913-371259,UVE,357.3072894090,-37.2164194513,"3.6955","19.7882"
J000852-290043,UVE,2.2195800898,-29.0121412007,2.2555,20.5399
J000443-555044,UVE,1.1803351951,-55.8457246356,"1.8863","20.7745"
J031009-192207,UVE,47.5378289397,-19.3686642952,1.7876,19.7728
J133335+164903,UVE,203.3990788090,16.8177501246,"1.7712","21.5624"
J231359-370446,UVE,348.4986223516,-37.0794758014,"2.1816","20.8616"
J095500-013006,UVE,148.7504102160,-1.5018838602,"4.0179","20.7808"
J011453+031457,UVE,18.7218682956,3.2492493802,"2.4230","21.2000"
J224931-441730,UVE,342.3830396991,-44.2917263044,"1.8964","20.7475"
J005925-411043,UVE,14.8544988797,-41.1787232484,1.7216,20.4918
J003023-181956,UVE,7.5984122318,-18.3322239969,"2.3905","21.7720"
J010104-285801,UVE,15.2692886260,-28.9671398717,"2.6704","21.2643"
J044534-354704,UVE,71.3940799703,-35.7844677899,"2.4086","20.5580"
J045313-130555,UVE,73.3065362384,-13.0986343202,"2.0665","20.7446"
J021741-370059,UVE,34.4239564877,-37.0164711824,"2.4294,2.5144","20.7717,20.6483"
J225310-365815,UVE,343.2950387441,-36.9709484545,"2.7423","20.8094"
J103842-272912,UVE,159.6775330654,-27.4868290431,"2.7920","20.6500"
J010311+131617,UVE,15.7969505553,13.2715824058,"2.3079","21.5792"
J043255-355030,UVE,68.2302051488,-35.8418569151,"1.9454,1.9698","20.7381,20.3749"
J235702-004824,UVE,359.2605770496,-0.8066692656,"2.4790","20.4100"
J091613+070224,UVE,139.0581606167,7.0401166428,"2.6187","20.4947"
J095355-050418,UVE,148.4822433379,-5.0719116221,"3.8323,3.8580,4.2030","20.5279,20.6000,20.5500"
J162116-004250,UVE,245.3204935815,-0.7141150785,"3.1044","20.0"
J055246-363727,UVE,88.1924123132,-36.6243001103,1.9608,20.9268
J081634+144612,UVE,124.1432439053,14.7701171049,"3.2870",22.0
J144653+011355,UVE,221.7210354305,1.2321926524,2.0867,20.6587
J012517-001828,UVE,21.3214520048,-0.3080003449,"2.0094","20.3081"
J000815-095854,UVE,2.0638696272,-9.9817523271,"1.7680","20.8500"
J004216-333754,UVE,10.5685392287,-33.6319181377,"2.2275","20.7759"
J031115-172247,UVE,47.8132870537,-17.3798864906,3.7328,20.2384
J025634-401300,UVE,44.1416651483,-40.2167479642,"2.0454","20.6870"
J043403-435547,UVE,68.5132478552,-43.9298013378,"2.3001","21.1248"
J225719-100104,UVE,344.3293277918,-10.0179761491,"1.8356","20.6595"
J141217+091624,UVE,213.0720362871,9.2735268795,"2.4537,2.6686","20.6278,19.9649"
J064326-504112,UVE,100.8624537317,-50.6868552060,"2.6597","21.2413"
J094438+194111,UVE,146.1620364447,19.6865051777,2.6550,20.5600
J221527-161133,UVE,333.8636614233,-16.1925047043,"3.6626",20.1367
J124924-023339,UVE,192.3535767065,-2.5610264912,1.7810,21.4500
J223953-055220,UVE,339.9736190840,-5.8722264902,4.0790,20.5500
J020900-455026,UVE,32.2541248421,-45.8407491877,"2.3475","21.2615"
J033900-013317,UVE,54.7540354482,-1.5548580554,"3.0620,2.8385","21.2000,19.7203"
J115906+133737,UVE,179.7771616432,13.6271414381,"3.7244","19.7504"
J004435-262259,UVE,11.1488299049,-26.3832236335,2.5490,21.5
J080916+053941,UVE,122.3207437201,5.6616449117,"2.3190","20.3900"
J115944+011206,UVE,179.9367437548,1.2019192005,"1.9440,1.8890","21.8000,21.2161"
J094632+125147,UVE,146.6367443757,12.8630607067,"3.0114","20.1724"
J012550-535225,UVE,21.4617936207,-53.8736114411,"2.8380","21.2758"
J111119+133603,UVE,167.8295781506,13.6010591919,"3.2012","21.2571"
J233446-090812,UVE,353.6932861446,-9.1367253419,"3.0570","20.5091"
J104040-272437,UVE,160.1683663870,-27.4103013024,"2.2337","20.2538"
J030211-314030,UVE,45.5470804741,-31.6750533799,"2.1790","21.0000"
