QSO	PI_DATE	SPEC_PREFIX	Z_EM	QSO_Olam0	QSO_Olam1	QSO_Rlam0	QSO_Rlam1	OBS_Olam0	OBS_Olam1	LyaS2N	DR	S2N	SPECRES	dv	RA	DE
J004434-261121	Chaffee_Jul_6_1997	J004434-261121	3.289	4107	6564	957	1530	4126	6564	3.12	2	5.0	95600	2.60	0.1836842682440565	-0.4618146048913807
J004448+372114	Tytler_Dec_10_12_13_14_2009	J004448+372114	2.41	3368	6198	987	1817	3368	6198	5.90	1	6.0	95500	2.60	0.19550160172110145	0.6519536824857296
J004530-261709	Crighton_Aug_22_2007	J004530-261709	3.44	3973	8543	894	1924	3973	8543	16.82	1	5.0	47700	1.30	0.19856247289678652	-0.4587738534834618
J005202+010129	Tytler_Dec_10_12_13_14_2009	J005202+010129	2.27	3366	6198	1029	1895	3366	6198	11.23	1	8.0	95500	2.60	0.22706588124341892	0.017888655205579657
J005233+014040	Roth_Nov_11_12_1996	J005233+014040	2.307	5281	7635	1596	2308	5281	7635	-1.00	2	3.0	95600	2.60	0.22931008377327497	0.029252203077106072
J005700+143737	Tytler_Dec_10_12_13_14_2009	J005700+143737	2.643	3366	6198	923	1701	3366	6198	10.10	1	8.0	95500	2.60	0.24872323559910353	0.25529270338497834
J005814+011530	Tytler_Dec_10_12_13_14_2009	J005814+011530	2.494	3368	6250	963	1788	3368	6198	10.33	1	8.0	95500	2.60	0.2541119396646361	0.021966423077391967
J005814+011530	Wolfe_Oct_6_2004	J005814+011530	2.494	3368	6250	963	1788	3386	6250	10.32	1	4.0	47700	1.30	0.2541126668851577	0.021966423077391967
J010054+021136	Sargent_Oct_12_13_14_1999	J010054+021136	1.959	3218	4889	1087	1652	3317	4849	6.01	2	8.0	95600	2.60	0.25448863989485815	0.03362958580384407
J010054+021136	Sargent_Oct_12_13_14_1999	J010054+021136_spec2	1.959	3218	4889	1087	1652	3340	4889	6.86	2	8.0	95600	2.60	0.2545053659668564	0.03358789182726865
J010054+021136	Steidel_Sep_22_23_24_1998	J010054+021136	1.959	3218	4889	1087	1652	3218	4723	12.21	2	7.0	95600	2.60	0.26570383477996506	0.03828719083826338
J010311+131617	Steidel_Oct_9_10_2005	J010311+131617	2.721	3123	6896	839	1853	3123	5978	77.74	1	13.0	71600	2.60	0.2757082074965009	0.2316323413057897
J010311+131617	Wolfe_Nov_1_2002	J010311+131617	2.721	3123	6896	839	1853	4475	6896	-1.00	2	8.0	95600	2.60	0.27569439030658927	0.23163137167842748
J010741-263328	Tytler_Jan_13_14_15_2008	J010741-263328	2.46	3133	6031	905	1743	3133	6031	4.43	1	5.0	71600	2.60	0.2953504337866537	-0.4635182401667996
J010806+163550	Tytler_Dec_6_7_2005	J010806+163550	2.652	3048	6655	834	1822	3048	5895	31.77	1	13.0	35800	1.30	0.28554168339044556	0.28503505309368615
J010806+163550	Tytler_Oct_9_10_11_1999	J010806+163550	2.652	3048	6655	834	1822	3189	4723	57.74	2	15.0	71700	2.60	0.2855874982833104	0.28502972014319394
J010806+163550	Tytler_Sep_20_21_22_2000	J010806+163550	2.652	3048	6655	834	1822	3189	4724	52.54	2	14.0	71700	2.60	0.2855787716370505	0.2850205086832529
J010806+163550	Wolfe_Nov_8_9_1999	J010806+163550	2.652	3048	6655	834	1822	4218	6655	9.44	2	8.0	71700	2.60	0.2855794988575721	0.2850224479379773
J010925-210257	Prochaska_Jan_3_4_2006	J010925-210257	3.226	3304	6179	781	1462	3304	6179	19.28	1	6.0	71600	2.60	0.30289971002205085	-0.3673690213017943
J011150+140141	Tytler_Jan_13_14_15_2008	J011150+140141	2.47	3133	6031	902	1738	3133	6031	7.30	1	5.0	71600	2.60	0.3134327720578366	0.24483866597921342
J012156+144823	Prochaska_Sep_8_9_2004	J012156+144823	2.87	3244	6254	838	1616	3244	6138	27.39	1	2.0	47700	1.30	0.3574957906859985	0.25843284159752483
J012156+144823	Cowie_Oct_18_19_20_21_1998	J012156+144823	2.87	3244	6254	838	1616	3950	6254	16.75	2	4.0	71700	2.60	0.35749869956808517	0.2584207212554971
J012156+144823	Cowie_Oct_18_19_20_21_1998	J012156+144823_spec2	2.87	3244	6254	838	1616	3970	6203	19.29	2	7.0	71700	2.60	0.35750524455278015	0.2584216908828593
J012156+144823	Sargent_Dec_18_22_1998	J012156+144823	2.87	3244	6254	838	1616	3842	6077	28.00	2	10.0	95600	2.60	0.3574819734960869	0.25840666165874493
J012156+144823	Sargent_Dec_18_22_1998	J012156+144823_spec2	2.87	3244	6254	838	1616	3852	6088	21.65	2	8.0	95600	2.60	0.3574630657625236	0.2584284782743948
J012156+144823	Sargent_Nov_10_11_12_1999	J012156+144823	2.87	3244	6254	838	1616	3853	6168	11.08	2	9.0	95600	2.60	0.3575066989938234	0.2584037527766583
J012227-042127	Hamann_Jan_1_2_1998	J012227-042127	1.953	3316	6051	1122	2049	3400	4913	2.99	2	5.0	95600	2.60	0.34868915016864377	-0.08065408880306353
J012227-042127	Hamann_Jan_1_2_1998	J012227-042127_spec2	1.953	3316	6051	1122	2049	3405	4920	3.41	2	6.0	95600	2.60	0.34874805503089856	-0.08060512262127147
J012227-042127	Sargent_Jul_21_22_1996	J012227-042127	1.953	3316	6051	1122	2049	3838	6051	-1.00	2	5.0	95600	2.60	0.3487836888364601	-0.08063663551054358
J012227-042127	Sargent_Oct_12_13_14_1999	J012227-042127	1.953	3316	6051	1122	2049	3316	4849	6.04	2	6.0	95600	2.60	0.34877496219020016	-0.08060997075808256
J012227-042127	Sargent_Oct_12_13_14_1999	J012227-042127_spec2	1.953	3316	6051	1122	2049	3341	4889	4.09	2	6.0	95600	2.60	0.34877496219020016	-0.08060997075808256
J013301-400628	Tytler_Oct_27_28_29_1998	J013301-400628	3.023	3339	4899	829	1217	3339	4899	53.74	2	9.0	71700	2.60	0.39636500034843386	-0.7044725789329634
