No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter
"<a HREF=""javascript:void(0)"">83</a>",WISEA J142107.75-064356.2,215.28232,-6.73232,QSO,1105935.00,3.689,,18.5
"<a HREF=""javascript:void(0)"">84</a>",WISEA J144250.11+092001.5,220.70884,9.33376,QSO,1053615.00,3.51448,,18.3g
"<a HREF=""javascript:void(0)"">85</a>",[HB89] 1442+101,221.3186,9.97669,QSO,1064965.00,3.552339,,18.6g
"<a HREF=""javascript:void(0)"">86</a>",WISEA J150328.88+041948.9,225.87037,4.33028,QSO,1099268.00,3.666762,,19.4g
"<a HREF=""javascript:void(0)"">87</a>",WISEA J151756.17+051103.4,229.4841,5.18433,QSO,1066962.00,3.559,,19.7g
"<a HREF=""javascript:void(0)"">88</a>",WISEA J152436.09+212309.3,231.15035,21.38588,QSO,1081005.00,3.605844,,18.8g
"<a HREF=""javascript:void(0)"">89</a>",WISEA J154237.67+095558.8,235.65713,9.93302,QSO,1196772.00,3.992,,20.4g
"<a HREF=""javascript:void(0)"">90</a>",WISEA J155255.02+100538.1,238.22935,10.09399,QSO,1119425.00,3.734,,20.1g
"<a HREF=""javascript:void(0)"">91</a>",WISE J162116.90-004250.0,245.32046,-0.71419,QSO,1117763.00,3.728456,,18.6g
"<a HREF=""javascript:void(0)"">92</a>",WISEA J163319.63+141142.3,248.3318,14.19501,QSO,1299310.00,4.33403,,21.1g
"<a HREF=""javascript:void(0)"">93</a>",2MASS J16584407-0739178,254.68359,-7.65491,QSO,1121824.00,3.742,,18.7R
"<a HREF=""javascript:void(0)"">94</a>",WISE J172323.10+224357.0,260.84667,22.73278,QSO,1355062.00,4.52,,18.2R
"<a HREF=""javascript:void(0)"">95</a>",WISEA J221527.29-161133.1,333.86372,-16.19251,QSO,1196172.00,3.99,,18.1
"<a HREF=""javascript:void(0)"">96</a>",WISEA J221652.00-671443.5,334.21658,-67.24542,QSO,1339773.00,4.469,,18.06
"<a HREF=""javascript:void(0)"">97</a>",WISE J223953.60-055219.0,339.97333,-5.87194,QSO,1366454.00,4.558,,18.3
"<a HREF=""javascript:void(0)"">98</a>",WISEA J225118.10-122703.2,342.82525,-12.45085,QSO,1247437.00,4.161,,18.5
"<a HREF=""javascript:void(0)"">99</a>",WISEA J234403.10+034226.7,356.01333,3.70722,QSO,1270820.00,4.239,,18.6
"<a HREF=""javascript:void(0)"">100</a>",WISEA J234913.78-371259.2,357.30733,-37.21636,QSO,1261527.00,4.208,,18.69
